,selling_price,km_driven,fuel,transmission,owner,mileage,engine,max_power,seats,torque_1,Age,seller_type_Individual,seller_type_Trustmark Dealer
0,450000,145500,4,1,5,23.4,1248.0,74.0,5.0,190.0,8,1,0
1,370000,120000,4,1,4,21.14,1498.0,103.52,5.0,250.0,8,1,0
2,158000,140000,1,1,3,17.7,1497.0,78.0,5.0,124.587,16,1,0
3,225000,127000,4,1,5,23.0,1396.0,90.0,5.0,219.744,12,1,0
4,130000,120000,1,1,5,16.1,1298.0,88.2,5.0,112.815,15,1,0
5,440000,45000,1,1,5,20.14,1197.0,81.86,5.0,113.75,5,1,0
6,96000,175000,2,1,5,17.3,1061.0,57.5,5.0,76.518,15,1,0
7,45000,5000,1,1,4,16.1,796.0,37.0,4.0,59.0,21,1,0
8,350000,90000,4,1,5,23.59,1364.0,67.1,5.0,170.0,11,1,0
9,200000,169000,4,1,5,20.0,1399.0,68.1,5.0,160.0,9,1,0
10,500000,68000,4,1,4,19.01,1461.0,108.45,5.0,248.0,8,1,0
11,92000,100000,1,1,4,17.3,993.0,60.0,5.0,78.0,17,1,0
12,280000,140000,4,1,4,19.3,1248.0,73.9,5.0,190.0,13,1,0
13,180000,90000,1,1,4,18.9,1061.0,67.0,5.0,84.0,13,1,0
14,400000,40000,1,1,5,18.15,1198.0,82.0,5.0,115.0,6,1,0
15,778000,70000,4,1,4,24.52,1248.0,88.5,7.0,200.0,6,1,0
16,500000,53000,4,1,4,23.0,1396.0,90.0,5.0,219.744,10,1,0
17,150000,80000,1,1,4,19.7,796.0,46.3,5.0,62.0,20,1,0
18,680000,100000,4,1,5,22.54,1396.0,88.73,5.0,219.7,6,1,0
19,174000,100000,4,1,4,21.0,1461.0,64.1,5.0,160.0,11,1,0
20,950000,50000,4,1,5,25.5,1498.0,98.6,5.0,200.0,5,1,0
21,525000,40000,4,1,5,26.59,1248.0,74.0,5.0,190.0,7,1,0
22,600000,72000,4,1,5,21.5,1248.0,88.8,5.0,200.0,10,1,0
23,500000,35000,1,1,5,20.3,1199.0,83.81,5.0,114.0,4,1,0
24,575000,45000,1,1,5,21.4,1197.0,83.1,5.0,115.0,6,1,0
25,275000,28000,1,1,5,24.7,796.0,47.3,5.0,69.0,5,1,0
26,300000,70000,4,1,5,18.2,1248.0,73.8,7.0,172.5,9,1,0
27,220000,120000,1,1,5,18.9,1061.0,67.0,5.0,84.0,13,1,0
28,254999,25000,1,1,5,16.8,796.0,34.2,8.0,59.0,4,1,0
29,670000,70000,4,1,5,24.3,1248.0,88.5,5.0,200.0,5,1,0
30,150000,35000,1,1,4,14.0,796.0,35.0,5.0,59.841,10,1,0
31,730000,2388,1,1,5,18.6,1197.0,81.83,5.0,114.7,4,1,0
32,650000,16200,4,1,5,24.3,1248.0,88.5,5.0,200.0,5,1,0
33,330000,10000,3,1,4,33.44,796.0,40.3,4.0,60.0,3,1,0
34,366000,15000,1,1,5,23.95,998.0,67.1,5.0,90.0,3,1,0
35,1149000,5000,1,1,5,17.0,1591.0,121.3,5.0,151.0,3,1,0
36,150000,42000,1,1,5,20.63,1198.0,67.0,5.0,104.0,6,1,0
37,425000,60000,4,1,4,13.93,2179.0,138.03,7.0,320.0,11,1,0
38,150000,76000,1,1,5,16.1,796.0,37.0,4.0,59.0,10,1,0
39,2100000,5000,1,2,5,16.0,1368.0,160.77,5.0,250.0,3,1,0
40,925000,28900,1,1,5,17.8,1497.0,117.3,5.0,145.0,4,0,0
41,425000,86300,1,1,5,16.8,1497.0,116.3,5.0,146.0,9,0,0
42,675000,23300,1,2,5,18.5,1197.0,83.14,5.0,115.0,4,0,0
43,819999,32600,4,1,5,24.3,1248.0,88.5,5.0,200.0,4,0,0
44,390000,10300,1,1,5,23.95,998.0,67.05,5.0,90.0,4,0,0
